source	target	from_class	to_class	edge_class	weight
Hermione Granger	Dennis Creevey	people	people	mutual understanding and trust	1
Hermione Granger	Angelina Johnson	people	people	mutual understanding and trust	1
Hermione Granger	Alicia Spinnet	people	people	mutual understanding and trust	1
Hermione Granger	Zacharias Smith	people	people	mutual understanding and trust	1
Hermione Granger	Susan Bones	people	people	mutual understanding and trust	1
Hermione Granger	Michael Corner	people	people	mutual understanding and trust	1
Hermione Granger	Terry Boot	people	people	mutual understanding and trust	1
Hermione Granger	Anthony Goldstein	people	people	mutual understanding and trust	1
Hermione Granger	Marietta Edgecombe	people	people	mutual understanding and trust	1
Hermione Granger	Katie Bell	people	people	mutual understanding and trust	1
Hermione Granger	Lee Jordan	people	people	mutual understanding and trust	3
Ronald Weasley	Ginny Weasley	people	people	mutual understanding and trust	5
Ronald Weasley	Neville Longbottom	people	people	mutual understanding and trust	4
Ronald Weasley	Luna Lovegood	people	people	mutual understanding and trust	4
Ronald Weasley	Lavender Brown	people	people	mutual understanding and trust	4
Ronald Weasley	Cho Chang	people	people	mutual understanding and trust	2
Ronald Weasley	Dean Thomas	people	people	mutual understanding and trust	2
Ronald Weasley	Fred Weasley	people	people	mutual understanding and trust	5
Ronald Weasley	George Weasley	people	people	mutual understanding and trust	5
Ronald Weasley	Parvati Patil	people	people	mutual understanding and trust	3
Ronald Weasley	Padma Patil	people	people	mutual understanding and trust	3
Ronald Weasley	Hannah Abbot	people	people	mutual understanding and trust	2
Ronald Weasley	Seamus Finnigan	people	people	mutual understanding and trust	4
Ronald Weasley	Colin Creevey	people	people	mutual understanding and trust	2
Ronald Weasley	Dennis Creevey	people	people	mutual understanding and trust	1
Ronald Weasley	Angelina Johnson	people	people	mutual understanding and trust	1
Ronald Weasley	Alicia Spinnet	people	people	mutual understanding and trust	1
Ronald Weasley	Zacharias Smith	people	people	mutual understanding and trust	1
Ronald Weasley	Susan Bones	people	people	mutual understanding and trust	1
Ronald Weasley	Michael Corner	people	people	mutual understanding and trust	2
Ronald Weasley	Terry Boot	people	people	mutual understanding and trust	1
Ronald Weasley	Anthony Goldstein	people	people	mutual understanding and trust	1
Ronald Weasley	Marietta Edgecombe	people	people	mutual understanding and trust	1
Ronald Weasley	Katie Bell	people	people	mutual understanding and trust	1
Ronald Weasley	Lee Jordan	people	people	mutual understanding and trust	3
Ginny Weasley	Neville Longbottom	people	people	mutual understanding and trust	4
Ginny Weasley	Luna Lovegood	people	people	mutual understanding and trust	4
Ginny Weasley	Lavender Brown	people	people	mutual understanding and trust	3
Ginny Weasley	Cho Chang	people	people	mutual understanding and trust	2
Ginny Weasley	Dean Thomas	people	people	mutual understanding and trust	4
Ginny Weasley	Fred Weasley	people	people	mutual understanding and trust	5
Ginny Weasley	George Weasley	people	people	mutual understanding and trust	5
Ginny Weasley	Parvati Patil	people	people	mutual understanding and trust	1
Ginny Weasley	Seamus Finnigan	people	people	mutual understanding and trust	1
Ginny Weasley	Colin Creevey	people	people	mutual understanding and trust	2
Ginny Weasley	Zacharias Smith	people	people	mutual understanding and trust	1
Ginny Weasley	Michael Corner	people	people	mutual understanding and trust	4
Ginny Weasley	Marietta Edgecombe	people	people	mutual understanding and trust	1
Ginny Weasley	Katie Bell	people	people	mutual understanding and trust	2
Ginny Weasley	Lee Jordan	people	people	mutual understanding and trust	2
Neville Longbottom	Luna Lovegood	people	people	mutual understanding and trust	5
Neville Longbottom	Lavender Brown	people	people	mutual understanding and trust	2
Neville Longbottom	Cho Chang	people	people	mutual understanding and trust	2
Neville Longbottom	Dean Thomas	people	people	mutual understanding and trust	2
Neville Longbottom	Fred Weasley	people	people	mutual understanding and trust	4
Neville Longbottom	George Weasley	people	people	mutual understanding and trust	4
Neville Longbottom	Parvati Patil	people	people	mutual understanding and trust	2
Neville Longbottom	Hannah Abbot	people	people	mutual understanding and trust	3
Neville Longbottom	Seamus Finnigan	people	people	mutual understanding and trust	4
Neville Longbottom	Colin Creevey	people	people	mutual understanding and trust	3
Neville Longbottom	Angelina Johnson	people	people	mutual understanding and trust	1
Neville Longbottom	Alicia Spinnet	people	people	mutual understanding and trust	1
Neville Longbottom	Zacharias Smith	people	people	mutual understanding and trust	4
Neville Longbottom	Susan Bones	people	people	mutual understanding and trust	2
Neville Longbottom	Michael Corner	people	people	mutual understanding and trust	3
Neville Longbottom	Katie Bell	people	people	mutual understanding and trust	3
Neville Longbottom	Lee Jordan	people	people	mutual understanding and trust	2
Luna Lovegood	Lavender Brown	people	people	mutual understanding and trust	3
Luna Lovegood	Cho Chang	people	people	mutual understanding and trust	2
Luna Lovegood	Dean Thomas	people	people	mutual understanding and trust	3
Luna Lovegood	Fred Weasley	people	people	mutual understanding and trust	4
Luna Lovegood	George Weasley	people	people	mutual understanding and trust	4
Luna Lovegood	Parvati Patil	people	people	mutual understanding and trust	3
Luna Lovegood	Padma Patil	people	people	mutual understanding and trust	3
Luna Lovegood	Hannah Abbot	people	people	mutual understanding and trust	2
Luna Lovegood	Seamus Finnigan	people	people	mutual understanding and trust	2
Luna Lovegood	Colin Creevey	people	people	mutual understanding and trust	2
Luna Lovegood	Angelina Johnson	people	people	mutual understanding and trust	2
Luna Lovegood	Zacharias Smith	people	people	mutual understanding and trust	2
Luna Lovegood	Susan Bones	people	people	mutual understanding and trust	2
Luna Lovegood	Michael Corner	people	people	mutual understanding and trust	2
Luna Lovegood	Terry Boot	people	people	mutual understanding and trust	2
Luna Lovegood	Anthony Goldstein	people	people	mutual understanding and trust	2
Luna Lovegood	Marietta Edgecombe	people	people	mutual understanding and trust	1
Luna Lovegood	Katie Bell	people	people	mutual understanding and trust	2
Lavender Brown	Cho Chang	people	people	mutual understanding and trust	3
Lavender Brown	Dean Thomas	people	people	mutual understanding and trust	3
Lavender Brown	Fred Weasley	people	people	mutual understanding and trust	4
Lavender Brown	George Weasley	people	people	mutual understanding and trust	4
Lavender Brown	Parvati Patil	people	people	mutual understanding and trust	2
Lavender Brown	Seamus Finnigan	people	people	mutual understanding and trust	2
Lavender Brown	Angelina Johnson	people	people	mutual understanding and trust	2
Lavender Brown	Alicia Spinnet	people	people	mutual understanding and trust	2
Lavender Brown	Zacharias Smith	people	people	mutual understanding and trust	2
Lavender Brown	Susan Bones	people	people	mutual understanding and trust	3
Lavender Brown	Katie Bell	people	people	mutual understanding and trust	2
Lavender Brown	Lee Jordan	people	people	mutual understanding and trust	2
Cho Chang	Dean Thomas	people	people	mutual understanding and trust	3
Cho Chang	Fred Weasley	people	people	mutual understanding and trust	3
Cho Chang	George Weasley	people	people	mutual understanding and trust	3
Cho Chang	Parvati Patil	people	people	mutual understanding and trust	5
Cho Chang	Padma Patil	people	people	mutual understanding and trust	5
Cho Chang	Hannah Abbot	people	people	mutual understanding and trust	4
Cho Chang	Seamus Finnigan	people	people	mutual understanding and trust	4
Cho Chang	Colin Creevey	people	people	mutual understanding and trust	2
Cho Chang	Angelina Johnson	people	people	mutual understanding and trust	3
Cho Chang	Alicia Spinnet	people	people	mutual understanding and trust	2
Cho Chang	Zacharias Smith	people	people	mutual understanding and trust	2
Cho Chang	Susan Bones	people	people	mutual understanding and trust	4
Cho Chang	Michael Corner	people	people	mutual understanding and trust	3
Cho Chang	Terry Boot	people	people	mutual understanding and trust	3
Cho Chang	Anthony Goldstein	people	people	mutual understanding and trust	2
Cho Chang	Marietta Edgecombe	people	people	mutual understanding and trust	1
Cho Chang	Katie Bell	people	people	mutual understanding and trust	4
Cho Chang	Lee Jordan	people	people	mutual understanding and trust	2
Dean Thomas	Fred Weasley	people	people	mutual understanding and trust	3
Dean Thomas	George Weasley	people	people	mutual understanding and trust	3
Dean Thomas	Parvati Patil	people	people	mutual understanding and trust	3
Dean Thomas	Hannah Abbot	people	people	mutual understanding and trust	4
Dean Thomas	Seamus Finnigan	people	people	mutual understanding and trust	5
Dean Thomas	Angelina Johnson	people	people	mutual understanding and trust	2
Dean Thomas	Alicia Spinnet	people	people	mutual understanding and trust	2
Dean Thomas	Zacharias Smith	people	people	mutual understanding and trust	3
Dean Thomas	Susan Bones	people	people	mutual understanding and trust	2
Dean Thomas	Michael Corner	people	people	mutual understanding and trust	3
Dean Thomas	Terry Boot	people	people	mutual understanding and trust	2
Dean Thomas	Marietta Edgecombe	people	people	mutual understanding and trust	1
Dean Thomas	Katie Bell	people	people	mutual understanding and trust	2
Dean Thomas	Lee Jordan	people	people	mutual understanding and trust	2
Fred Weasley	George Weasley	people	people	mutual understanding and trust	5
Fred Weasley	Hannah Abbot	people	people	mutual understanding and trust	3
Fred Weasley	Seamus Finnigan	people	people	mutual understanding and trust	2
Fred Weasley	Angelina Johnson	people	people	mutual understanding and trust	2
Fred Weasley	Alicia Spinnet	people	people	mutual understanding and trust	2
Fred Weasley	Zacharias Smith	people	people	mutual understanding and trust	2
Fred Weasley	Susan Bones	people	people	mutual understanding and trust	2
Fred Weasley	Michael Corner	people	people	mutual understanding and trust	3
Fred Weasley	Terry Boot	people	people	mutual understanding and trust	1
Fred Weasley	Anthony Goldstein	people	people	mutual understanding and trust	2
Fred Weasley	Marietta Edgecombe	people	people	mutual understanding and trust	1
Fred Weasley	Katie Bell	people	people	mutual understanding and trust	3
Fred Weasley	Lee Jordan	people	people	mutual understanding and trust	4
George Weasley	Hannah Abbot	people	people	mutual understanding and trust	3
George Weasley	Seamus Finnigan	people	people	mutual understanding and trust	2
George Weasley	Angelina Johnson	people	people	mutual understanding and trust	2
George Weasley	Alicia Spinnet	people	people	mutual understanding and trust	2
George Weasley	Zacharias Smith	people	people	mutual understanding and trust	2
George Weasley	Susan Bones	people	people	mutual understanding and trust	2
George Weasley	Michael Corner	people	people	mutual understanding and trust	3
George Weasley	Terry Boot	people	people	mutual understanding and trust	2
George Weasley	Anthony Goldstein	people	people	mutual understanding and trust	2
George Weasley	Marietta Edgecombe	people	people	mutual understanding and trust	1
George Weasley	Lee Jordan	people	people	mutual understanding and trust	4
Parvati Patil	Padma Patil	people	people	mutual understanding and trust	5
Parvati Patil	Hannah Abbot	people	people	mutual understanding and trust	4
Parvati Patil	Seamus Finnigan	people	people	mutual understanding and trust	3
Parvati Patil	Angelina Johnson	people	people	mutual understanding and trust	3
Parvati Patil	Alicia Spinnet	people	people	mutual understanding and trust	3
Parvati Patil	Zacharias Smith	people	people	mutual understanding and trust	2
Parvati Patil	Susan Bones	people	people	mutual understanding and trust	2
Parvati Patil	Michael Corner	people	people	mutual understanding and trust	4
Parvati Patil	Terry Boot	people	people	mutual understanding and trust	2
Parvati Patil	Marietta Edgecombe	people	people	mutual understanding and trust	1
Parvati Patil	Katie Bell	people	people	mutual understanding and trust	2
Parvati Patil	Lee Jordan	people	people	mutual understanding and trust	2
Padma Patil	Alicia Spinnet	people	people	mutual understanding and trust	3
Padma Patil	Susan Bones	people	people	mutual understanding and trust	2
Padma Patil	Terry Boot	people	people	mutual understanding and trust	2
Padma Patil	Katie Bell	people	people	mutual understanding and trust	4
Hannah Abbot	Seamus Finnigan	people	people	mutual understanding and trust	3
Hannah Abbot	Colin Creevey	people	people	mutual understanding and trust	1
Hannah Abbot	Angelina Johnson	people	people	mutual understanding and trust	5
Hannah Abbot	Alicia Spinnet	people	people	mutual understanding and trust	4
Hannah Abbot	Zacharias Smith	people	people	mutual understanding and trust	1
Hannah Abbot	Susan Bones	people	people	mutual understanding and trust	2
Hannah Abbot	Katie Bell	people	people	mutual understanding and trust	2
Hannah Abbot	Justin Finch-Fletchley	people	people	mutual understanding and trust	4
Hannah Abbot	Lee Jordan	people	people	mutual understanding and trust	2
Hannah Abbot	Ernie McMillian	people	people	mutual understanding and trust	4
Seamus Finnigan	Angelina Johnson	people	people	mutual understanding and trust	3
Seamus Finnigan	Alicia Spinnet	people	people	mutual understanding and trust	3
Seamus Finnigan	Zacharias Smith	people	people	mutual understanding and trust	4
Seamus Finnigan	Susan Bones	people	people	mutual understanding and trust	2
Seamus Finnigan	Michael Corner	people	people	mutual understanding and trust	4
Seamus Finnigan	Terry Boot	people	people	mutual understanding and trust	4
Seamus Finnigan	Anthony Goldstein	people	people	mutual understanding and trust	4
Seamus Finnigan	Marietta Edgecombe	people	people	mutual understanding and trust	1
Seamus Finnigan	Katie Bell	people	people	mutual understanding and trust	4
Seamus Finnigan	Lee Jordan	people	people	mutual understanding and trust	2
Colin Creevey	Dennis Creevey	people	people	mutual understanding and trust	5
Colin Creevey	Angelina Johnson	people	people	mutual understanding and trust	2
Colin Creevey	Alicia Spinnet	people	people	mutual understanding and trust	2
Colin Creevey	Zacharias Smith	people	people	mutual understanding and trust	4
Colin Creevey	Susan Bones	people	people	mutual understanding and trust	4
Colin Creevey	Michael Corner	people	people	mutual understanding and trust	3
Colin Creevey	Terry Boot	people	people	mutual understanding and trust	3
Colin Creevey	Anthony Goldstein	people	people	mutual understanding and trust	1
Colin Creevey	Marietta Edgecombe	people	people	mutual understanding and trust	1
Colin Creevey	Katie Bell	people	people	mutual understanding and trust	1
Angelina Johnson	Alicia Spinnet	people	people	mutual understanding and trust	3
Angelina Johnson	Zacharias Smith	people	people	mutual understanding and trust	1
Angelina Johnson	Susan Bones	people	people	mutual understanding and trust	2
Angelina Johnson	Michael Corner	people	people	mutual understanding and trust	3
Angelina Johnson	Terry Boot	people	people	mutual understanding and trust	2
Angelina Johnson	Anthony Goldstein	people	people	mutual understanding and trust	3
Angelina Johnson	Marietta Edgecombe	people	people	mutual understanding and trust	1
Angelina Johnson	Katie Bell	people	people	mutual understanding and trust	4
Alicia Spinnet	Zacharias Smith	people	people	mutual understanding and trust	3
Alicia Spinnet	Michael Corner	people	people	mutual understanding and trust	4
Alicia Spinnet	Terry Boot	people	people	mutual understanding and trust	4
Alicia Spinnet	Anthony Goldstein	people	people	mutual understanding and trust	4
Alicia Spinnet	Marietta Edgecombe	people	people	mutual understanding and trust	2
Alicia Spinnet	Katie Bell	people	people	mutual understanding and trust	3
Alicia Spinnet	Lee Jordan	people	people	mutual understanding and trust	3
Zacharias Smith	Susan Bones	people	people	mutual understanding and trust	2
Zacharias Smith	Katie Bell	people	people	mutual understanding and trust	4
Susan Bones	Michael Corner	people	people	mutual understanding and trust	4
Susan Bones	Terry Boot	people	people	mutual understanding and trust	1
Susan Bones	Anthony Goldstein	people	people	mutual understanding and trust	2
Susan Bones	Marietta Edgecombe	people	people	mutual understanding and trust	2
Susan Bones	Katie Bell	people	people	mutual understanding and trust	3
Susan Bones	Justin Finch-Fletchley	people	people	mutual understanding and trust	2
Susan Bones	Lee Jordan	people	people	mutual understanding and trust	2
Michael Corner	Terry Boot	people	people	mutual understanding and trust	2
Michael Corner	Anthony Goldstein	people	people	mutual understanding and trust	4
Michael Corner	Katie Bell	people	people	mutual understanding and trust	3
Michael Corner	Lee Jordan	people	people	mutual understanding and trust	2
Terry Boot	Anthony Goldstein	people	people	mutual understanding and trust	2
Terry Boot	Katie Bell	people	people	mutual understanding and trust	3
Terry Boot	Justin Finch-Fletchley	people	people	mutual understanding and trust	2
Terry Boot	Lee Jordan	people	people	mutual understanding and trust	2
Anthony Goldstein	Katie Bell	people	people	mutual understanding and trust	3
Anthony Goldstein	Justin Finch-Fletchley	people	people	mutual understanding and trust	2
Anthony Goldstein	Lee Jordan	people	people	mutual understanding and trust	2
Marietta Edgecombe	Katie Bell	people	people	mutual understanding and trust	5
Marietta Edgecombe	Lee Jordan	people	people	mutual understanding and trust	2
Katie Bell	Lee Jordan	people	people	mutual understanding and trust	3
Justin Finch-Fletchley	Lee Jordan	people	people	mutual understanding and trust	2
Justin Finch-Fletchley	Ernie McMillian	people	people	mutual understanding and trust	4
Lee Jordan	Ernie McMillian	people	people	mutual understanding and trust	2
